Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Right_Row ID,Right_Order Date,Right_Ship Date,Right_Ship Mode,Right_Customer ID,Right_Customer Name,Right_Segment,Right_Country,Right_City,Right_State2,Right_Postal Code,Right_Region,Right_Product ID,Right_Category,Right_Sub-Category,Right_Product Name,Right_Sales,Right_Quantity,Right_Discount,Right_Profit,State
3836,CA-2015-100363,2015-04-08 00:00:00,2015-04-15 00:00:00,Standard Class,JM-15655,Jim Mitchum,Corporate,United States,Glendale,85301,West,OFF-FA-10000611,Office Supplies,Fasteners,Binder Clips by OIC,2.368,2,0.2,0.8288,3836,2015-04-08 00:00:00,2015-04-15 00:00:00,Standard Class,JM-15655,Jim Mitchum,Corporate,United States,Glendale,Arizona,85301,West,OFF-FA-10000611,Office Supplies,Fasteners,Binder Clips by OIC,2.368,2,0.2,0.8288,AZ
3837,CA-2015-100363,2015-04-08 00:00:00,2015-04-15 00:00:00,Standard Class,JM-15655,Jim Mitchum,Corporate,United States,Glendale,85301,West,OFF-PA-10004733,Office Supplies,Paper,Things To Do Today Spiral Book,19.008,3,0.2,6.8904,3836,2015-04-08 00:00:00,2015-04-15 00:00:00,Standard Class,JM-15655,Jim Mitchum,Corporate,United States,Glendale,Arizona,85301,West,OFF-FA-10000611,Office Supplies,Fasteners,Binder Clips by OIC,2.368,2,0.2,0.8288,AZ
3836,CA-2015-100363,2015-04-08 00:00:00,2015-04-15 00:00:00,Standard Class,JM-15655,Jim Mitchum,Corporate,United States,Glendale,85301,West,OFF-FA-10000611,Office Supplies,Fasteners,Binder Clips by OIC,2.368,2,0.2,0.8288,3837,2015-04-08 00:00:00,2015-04-15 00:00:00,Standard Class,JM-15655,Jim Mitchum,Corporate,United States,Glendale,Arizona,85301,West,OFF-PA-10004733,Office Supplies,Paper,Things To Do Today Spiral Book,19.008,3,0.2,6.8904,AZ
3837,CA-2015-100363,2015-04-08 00:00:00,2015-04-15 00:00:00,Standard Class,JM-15655,Jim Mitchum,Corporate,United States,Glendale,85301,West,OFF-PA-10004733,Office Supplies,Paper,Things To Do Today Spiral Book,19.008,3,0.2,6.8904,3837,2015-04-08 00:00:00,2015-04-15 00:00:00,Standard Class,JM-15655,Jim Mitchum,Corporate,United States,Glendale,Arizona,85301,West,OFF-PA-10004733,Office Supplies,Paper,Things To Do Today Spiral Book,19.008,3,0.2,6.8904,AZ
4565,CA-2015-101175,2015-12-09 00:00:00,2015-12-14 00:00:00,Standard Class,DM-12955,Dario Medina,Corporate,United States,Mesa,85204,West,OFF-ST-10004950,Office Supplies,Storage,Acco Perma 3000 Stacking Storage Drawers,100.704,6,0.2,-1.2588,4565,2015-12-09 00:00:00,2015-12-14 00:00:00,Standard Class,DM-12955,Dario Medina,Corporate,United States,Mesa,Arizona,85204,West,OFF-ST-10004950,Office Supplies,Storage,Acco Perma 3000 Stacking Storage Drawers,100.704,6,0.2,-1.2588,AZ
68,CA-2015-106376,2015-12-05 00:00:00,2015-12-10 00:00:00,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,85234,West,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,8,0.2,111.3024,68,2015-12-05 00:00:00,2015-12-10 00:00:00,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,8,0.2,111.3024,AZ
69,CA-2015-106376,2015-12-05 00:00:00,2015-12-10 00:00:00,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,85234,West,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,167.968,4,0.2,62.988,68,2015-12-05 00:00:00,2015-12-10 00:00:00,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,8,0.2,111.3024,AZ
68,CA-2015-106376,2015-12-05 00:00:00,2015-12-10 00:00:00,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,85234,West,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,8,0.2,111.3024,69,2015-12-05 00:00:00,2015-12-10 00:00:00,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,167.968,4,0.2,62.988,AZ
69,CA-2015-106376,2015-12-05 00:00:00,2015-12-10 00:00:00,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,85234,West,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,167.968,4,0.2,62.988,69,2015-12-05 00:00:00,2015-12-10 00:00:00,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,167.968,4,0.2,62.988,AZ
3223,CA-2015-108189,2015-10-02 00:00:00,2015-10-05 00:00:00,First Class,ES-14080,Erin Smith,Corporate,United States,Tempe,85281,West,OFF-PA-10001838,Office Supplies,Paper,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",9.408,2,0.2,3.4104,3223,2015-10-02 00:00:00,2015-10-05 00:00:00,First Class,ES-14080,Erin Smith,Corporate,United States,Tempe,Arizona,85281,West,OFF-PA-10001838,Office Supplies,Paper,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",9.408,2,0.2,3.4104,AZ
3224,CA-2015-108189,2015-10-02 00:00:00,2015-10-05 00:00:00,First Class,ES-14080,Erin Smith,Corporate,United States,Tempe,85281,West,OFF-FA-10000735,Office Supplies,Fasteners,Staples,4.672,2,0.2,1.46,3223,2015-10-02 00:00:00,2015-10-05 00:00:00,First Class,ES-14080,Erin Smith,Corporate,United States,Tempe,Arizona,85281,West,OFF-PA-10001838,Office Supplies,Paper,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",9.408,2,0.2,3.4104,AZ
3225,CA-2015-108189,2015-10-02 00:00:00,2015-10-05 00:00:00,First Class,ES-14080,Erin Smith,Corporate,United States,Tempe,85281,West,TEC-PH-10001760,Technology,Phones,Bose SoundLink Bluetooth Speaker,318.4,2,0.2,107.46,3223,2015-10-02 00:00:00,2015-10-05 00:00:00,First Class,ES-14080,Erin Smith,Corporate,United States,Tempe,Arizona,85281,West,OFF-PA-10001838,Office Supplies,Paper,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",9.408,2,0.2,3.4104,AZ
3226,CA-2015-108189,2015-10-02 00:00:00,2015-10-05 00:00:00,First Class,ES-14080,Erin Smith,Corporate,United States,Tempe,85281,West,OFF-EN-10004846,Office Supplies,Envelopes,Letter or Legal Size Expandable Poly String Tie Envelopes,12.768,6,0.2,4.6284,3223,2015-10-02 00:00:00,2015-10-05 00:00:00,First Class,ES-14080,Erin Smith,Corporate,United States,Tempe,Arizona,85281,West,OFF-PA-10001838,Office Supplies,Paper,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",9.408,2,0.2,3.4104,AZ
3227,CA-2015-108189,2015-10-02 00:00:00,2015-10-05 00:00:00,First Class,ES-14080,Erin Smith,Corporate,United States,Tempe,85281,West,OFF-SU-10003567,Office Supplies,Supplies,Stiletto Hand Letter Openers,15.36,2,0.2,-3.264,3223,2015-10-02 00:00:00,2015-10-05 00:00:00,First Class,ES-14080,Erin Smith,Corporate,United States,Tempe,Arizona,85281,West,OFF-PA-10001838,Office Supplies,Paper,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",9.408,2,0.2,3.4104,AZ
3228,CA-2015-108189,2015-10-02 00:00:00,2015-10-05 00:00:00,First Class,ES-14080,Erin Smith,Corporate,United States,Tempe,85281,West,TEC-PH-10001557,Technology,Phones,Pyle PMP37LED,230.376,3,0.2,20.1579,3223,2015-10-02 00:00:00,2015-10-05 00:00:00,First Class,ES-14080,Erin Smith,Corporate,United States,Tempe,Arizona,85281,West,OFF-PA-10001838,Office Supplies,Paper,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",9.408,2,0.2,3.4104,AZ
3229,CA-2015-108189,2015-10-02 00:00:00,2015-10-05 00:00:00,First Class,ES-14080,Erin Smith,Corporate,United States,Tempe,85281,West,TEC-AC-10003038,Technology,Accessories,Kingston Digital DataTraveler 16GB USB 2.0,7.16,1,0.2,-8.9500000000001e-002,3223,2015-10-02 00:00:00,2015-10-05 00:00:00,First Class,ES-14080,Erin Smith,Corporate,United States,Tempe,Arizona,85281,West,OFF-PA-10001838,Office Supplies,Paper,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",9.408,2,0.2,3.4104,AZ
